date,county,at_least_one_dose,fully_vaccinated,new_doses_administered
2021-03-25,Sutter,25247,15404,1058
2021-03-25,Tehama,11801,7269,605
2021-03-25,Trinity,2994,1939,111
2021-03-25,Tulare,114703,53470,3581
2021-03-25,Tuolumne,17504,10923,1307
2021-03-25,Ventura,269634,143582,8889
2021-03-25,Yolo,73343,42511,2579
2021-03-25,Yuba,13527,7752,523
2021-03-24,Alameda,532353,333280,19698
2021-03-24,Alpine,615,278,18
2021-03-24,Amador,12300,6860,357
2021-03-24,Butte,59483,37771,2296
2021-03-24,Calaveras,12480,7814,149
2021-03-24,Colusa,5426,3126,382
2021-03-24,Contra Costa,399630,247140,15548
2021-03-24,Del Norte,5779,3218,400
2021-03-24,El Dorado,58170,34443,1493
2021-03-24,Fresno,274533,127123,9176
2021-03-24,Glenn,6600,4425,214
2021-03-24,Humboldt,38092,25089,1429
2021-03-24,Imperial,49786,24137,2442
2021-03-24,Inyo,5527,3990,141
2021-03-24,Kern,184725,98003,7275
2021-03-24,Kings,30227,13344,1150
2021-03-24,Lake,17885,10978,420
2021-03-24,Lassen,4537,2294,166
2021-03-24,Los Angeles,2919964,1586420,107356
2021-03-24,Madera,38020,20023,987
2021-03-24,Marin,115795,68962,4533
2021-03-24,Mariposa,4612,2176,57
2021-03-24,Mendocino,34347,22234,922
2021-03-24,Merced,60649,28365,1750
2021-03-24,Modoc,2334,1798,30
2021-03-24,Mono,6314,4045,14
2021-03-24,Monterey,121094,56462,5400
2021-03-24,Napa,56617,33562,1736
2021-03-24,Nevada,32209,19095,1069
2021-03-24,Orange,944940,527783,29973
2021-03-24,Placer,126877,77479,3898
2021-03-24,Plumas,6099,2968,699
2021-03-24,Riverside,585362,349249,19270
2021-03-24,Sacramento,423056,233867,12062
2021-03-24,San Benito,15796,7435,599
2021-03-24,San Bernardino,443046,266722,15489
2021-03-24,San Diego,1009078,643292,29716
2021-03-24,San Francisco,341300,186878,12658
2021-03-24,San Joaquin,174547,94701,7176
2021-03-24,San Luis Obispo,84017,50352,3664
2021-03-24,San Mateo,274239,165148,9698
2021-03-24,Santa Barbara,123297,64563,5491
2021-03-24,Santa Clara,552543,343453,23277
2021-03-24,Santa Cruz,92717,57736,3127
2021-03-24,Shasta,41376,26155,621
2021-03-24,Sierra,1122,776,2
2021-03-24,Siskiyou,12265,7265,151
2021-03-24,Solano,140138,75069,2879
2021-03-24,Sonoma,187991,114414,7021
2021-03-24,Stanislaus,132830,67280,4441
2021-03-24,Sutter,24833,14720,1711
2021-03-24,Tehama,11241,7210,103
2021-03-24,Trinity,2904,1912,12
2021-03-24,Tulare,112871,51562,3285
2021-03-24,Tuolumne,17183,9954,117
2021-03-24,Ventura,265124,139097,9058
2021-03-24,Yolo,72053,41198,2902
2021-03-24,Yuba,13252,7483,766
2021-03-23,Alameda,522815,322123,19697
2021-03-23,Alpine,607,268,0
2021-03-23,Amador,12008,6545,440
2021-03-23,Butte,57654,37178,1859
2021-03-23,Calaveras,12429,7709,298
2021-03-23,Colusa,5346,2814,90
2021-03-23,Contra Costa,390126,240891,16272
2021-03-23,Del Norte,5512,3046,336
2021-03-23,El Dorado,57325,33621,1183
2021-03-23,Fresno,268707,122961,10776
2021-03-23,Glenn,6473,4335,176
2021-03-23,Humboldt,37003,24706,433
2021-03-23,Imperial,48002,23043,1664
2021-03-23,Inyo,5435,3935,198
2021-03-23,Kern,180596,94389,4817
2021-03-23,Kings,29686,12711,1063
2021-03-23,Lake,17550,10886,427
2021-03-23,Lassen,4449,2215,109
2021-03-23,Los Angeles,2855979,1540103,98843
2021-03-23,Madera,37355,19673,1437
2021-03-23,Marin,113890,66230,4353
2021-03-23,Mariposa,4558,2169,57
2021-03-23,Mendocino,34189,21419,172
2021-03-23,Merced,59617,27626,2035
2021-03-23,Modoc,2322,1770,65
2021-03-23,Mono,6304,4036,48
2021-03-23,Monterey,116838,54986,4200
2021-03-23,Napa,55788,32650,1930
2021-03-23,Nevada,31542,18691,888
2021-03-23,Orange,921775,520111,26883
2021-03-23,Placer,124832,75539,3650
2021-03-23,Plumas,5863,2504,30
2021-03-23,Riverside,572214,343038,19061
2021-03-23,Sacramento,415756,228537,11646
2021-03-23,San Benito,15432,7194,486
2021-03-23,San Bernardino,432637,261345,15886
2021-03-23,San Diego,991491,630787,26196
2021-03-23,San Francisco,334653,180347,11635
2021-03-23,San Joaquin,171388,90688,5614
2021-03-23,San Luis Obispo,81242,49383,3418
2021-03-23,San Mateo,269981,159606,10066
2021-03-23,Santa Barbara,119596,62004,4548
2021-03-23,Santa Clara,537825,334492,19961
2021-03-23,Santa Cruz,90627,56685,2599
2021-03-23,Shasta,40968,25905,1319
2021-03-23,Sierra,1121,775,22
2021-03-23,Siskiyou,12147,7231,163
2021-03-23,Solano,138744,73554,3695
2021-03-23,Sonoma,183679,111634,5977
2021-03-23,Stanislaus,130277,65384,3892
2021-03-23,Sutter,24457,13322,376
2021-03-23,Tehama,11170,7173,109
2021-03-23,Trinity,2895,1909,95
2021-03-23,Tulare,111099,50019,3882
2021-03-23,Tuolumne,17085,9919,729
2021-03-23,Ventura,260661,134455,8339
2021-03-23,Yolo,70643,39657,1772
2021-03-23,Yuba,12984,6904,284
2021-03-22,Alameda,512109,312324,15413
2021-03-22,Alpine,607,268,24
2021-03-22,Amador,11730,6385,122
2021-03-22,Butte,56030,36832,1531
2021-03-22,Calaveras,12314,7528,85
2021-03-22,Colusa,5282,2786,71
2021-03-22,Contra Costa,380670,233910,12066
2021-03-22,Del Norte,5336,2867,41
2021-03-22,El Dorado,56489,33186,1536
2021-03-22,Fresno,263084,117319,5812
2021-03-22,Glenn,6319,4266,125
2021-03-22,Humboldt,36625,24608,128
2021-03-22,Imperial,46970,22396,1222
2021-03-22,Inyo,5323,3844,58
2021-03-22,Kern,177907,92080,4016
2021-03-22,Kings,29068,12215,447
2021-03-22,Lake,17174,10822,339
2021-03-22,Lassen,4392,2162,38
2021-03-22,Los Angeles,2793868,1500313,72819
2021-03-22,Madera,36592,18923,1377
2021-03-22,Marin,111880,63762,2508
2021-03-22,Mariposa,4512,2148,42
2021-03-22,Mendocino,34043,21365,667
2021-03-22,Merced,58165,27008,1309
2021-03-22,Modoc,2276,1748,18
2021-03-22,Mono,6281,4007,11
2021-03-22,Monterey,114180,53403,2609
2021-03-22,Napa,54764,31731,1305
2021-03-22,Nevada,30872,18447,838
2021-03-22,Orange,900109,514298,23423
2021-03-22,Placer,122156,74478,3384
2021-03-22,Plumas,5847,2490,205
2021-03-22,Riverside,559821,335983,16881
2021-03-22,Sacramento,407563,224317,9582
2021-03-22,San Benito,15215,6916,371
2021-03-22,San Bernardino,422353,255136,9871
2021-03-22,San Diego,973935,621822,22793
2021-03-22,San Francisco,328073,174666,10245
2021-03-22,San Joaquin,167463,88890,4267
2021-03-22,San Luis Obispo,78981,48202,2817
2021-03-22,San Mateo,265325,154018,5468
2021-03-22,Santa Barbara,115758,61201,2829
2021-03-22,Santa Clara,526629,325229,16930
2021-03-22,Santa Cruz,88904,55729,1351
2021-03-22,Shasta,40160,25338,347
2021-03-22,Sierra,1109,765,0
2021-03-22,Siskiyou,12022,7185,210
2021-03-22,Solano,137384,71175,2746
2021-03-22,Sonoma,179149,110124,4683
2021-03-22,Stanislaus,127344,64208,2959
2021-03-22,Sutter,24181,13189,295
2021-03-22,Tehama,11083,7144,107
2021-03-22,Trinity,2816,1892,2
2021-03-22,Tulare,108938,48242,2629
2021-03-22,Tuolumne,16395,9876,167
2021-03-22,Ventura,256002,130719,7526
2021-03-22,Yolo,69505,38965,1420
2021-03-22,Yuba,12766,6812,200
2021-03-21,Alameda,504142,303914,9354
2021-03-21,Alpine,593,259,0
2021-03-21,Amador,11651,6313,54
2021-03-21,Butte,54684,36555,76
2021-03-21,Calaveras,12270,7467,48
2021-03-21,Colusa,5224,2760,6
2021-03-21,Contra Costa,373506,228764,4809
2021-03-21,Del Norte,5297,2864,5
2021-03-21,El Dorado,55213,32844,1108
2021-03-21,Fresno,258649,115358,1868
2021-03-21,Glenn,6205,4249,6
2021-03-21,Humboldt,36508,24549,260
2021-03-21,Imperial,46262,21859,305
2021-03-21,Inyo,5279,3825,0
2021-03-21,Kern,175644,89991,3130
2021-03-21,Kings,28727,12033,1425
2021-03-21,Lake,16908,10735,13
2021-03-21,Lassen,4357,2159,34
2021-03-21,Los Angeles,2741304,1478084,35625
2021-03-21,Madera,35868,18208,1132
2021-03-21,Marin,110807,62162,1562
2021-03-21,Mariposa,4475,2134,18
2021-03-21,Mendocino,33871,20845,11
2021-03-21,Merced,57206,26600,591
2021-03-21,Modoc,2258,1743,3
2021-03-21,Mono,6271,4001,0
2021-03-21,Monterey,111771,53141,668
2021-03-21,Napa,54339,30846,734
2021-03-21,Nevada,30323,18157,73
2021-03-21,Orange,880292,510452,19368
2021-03-21,Placer,119897,73266,1338
2021-03-21,Plumas,5650,2482,4
2021-03-21,Riverside,548737,329672,4042
2021-03-21,Sacramento,400414,221035,5898
2021-03-21,San Benito,14955,6780,115
2021-03-21,San Bernardino,414831,252369,2929
2021-03-21,San Diego,959096,613547,16652
2021-03-21,San Francisco,322051,169604,6815
2021-03-21,San Joaquin,164576,87147,2196
2021-03-21,San Luis Obispo,76987,47335,211
2021-03-21,San Mateo,262046,151405,4299
2021-03-21,Santa Barbara,113475,60615,1204
2021-03-21,Santa Clara,517155,317453,8609
2021-03-21,Santa Cruz,87932,55330,831
2021-03-21,Shasta,39926,25191,316
2021-03-21,Sierra,1109,765,1
2021-03-21,Siskiyou,11858,7120,7
2021-03-21,Solano,135758,70006,1710
2021-03-21,Sonoma,175667,108833,1430
2021-03-21,Stanislaus,125310,62642,1031
2021-03-21,Sutter,23939,13108,69
2021-03-21,Tehama,11005,7100,15
2021-03-21,Trinity,2814,1892,6
2021-03-21,Tulare,107104,47326,2047
2021-03-21,Tuolumne,16286,9803,843
2021-03-21,Ventura,251024,128079,2840
2021-03-21,Yolo,68537,38457,328
2021-03-21,Yuba,12607,6763,68
2021-03-20,Alameda,500219,297937,15962
2021-03-20,Alpine,593,259,0
2021-03-20,Amador,11622,6288,122
2021-03-20,Butte,54630,36504,221
2021-03-20,Calaveras,12251,7427,83
2021-03-20,Colusa,5223,2755,53
2021-03-20,Contra Costa,371564,225805,11182
2021-03-20,Del Norte,5295,2861,156
2021-03-20,El Dorado,54293,32652,1126
2021-03-20,Fresno,257253,114510,7771
2021-03-20,Glenn,6201,4247,135
2021-03-20,Humboldt,36267,24499,1444
2021-03-20,Imperial,46087,21725,1892
2021-03-20,Inyo,5279,3825,20
2021-03-20,Kern,172849,88779,6366
2021-03-20,Kings,27890,11433,655
2021-03-20,Lake,16898,10731,252
2021-03-20,Lassen,4343,2140,14
2021-03-20,Los Angeles,2717972,1464975,78792
2021-03-20,Madera,35446,17451,1191
2021-03-20,Marin,110003,61383,3645
2021-03-20,Mariposa,4462,2127,445
2021-03-20,Mendocino,33863,20837,80
