date,county,confirmed_cases,reported_deaths
2021-09-17,Kings,28573,281
2021-09-17,Lake,6042,87
2021-09-17,Lassen,6222,25
2021-09-17,Los Angeles,1383471,25820
2021-09-17,Madera,20354,257
2021-09-17,Marin,16761,242
2021-09-17,Mariposa,907,5
2021-09-17,Mendocino,6616,67
2021-09-17,Merced,38233,533
2021-09-17,Modoc,457,5
2021-09-17,Mono,1492,3
2021-09-17,Monterey,46600,564
2021-09-17,Napa,12245,95
2021-09-17,Nevada,8270,84
2021-09-17,Orange,294520,5346
2021-09-17,Placer,33568,362
2021-09-17,Plumas,1213,5
2021-09-17,Riverside,342512,4792
2021-09-17,Sacramento,146929,1999
2021-09-17,San Benito,6951,67
2021-09-17,San Bernardino,337733,5488
2021-09-17,San Diego,351681,4002
2021-09-17,San Francisco,49646,605
2021-09-17,San Joaquin,92781,1610
2021-09-17,San Luis Obispo,27333,311
2021-09-17,San Mateo,51146,564
2021-09-17,Santa Barbara,41583,498
2021-09-17,Santa Clara,139720,1838
2021-09-17,Santa Cruz,19160,211
2021-09-17,Shasta,18118,254
2021-09-17,Sierra,126,0
2021-09-17,Siskiyou,2940,35
2021-09-17,Solano,43210,312
2021-09-17,Sonoma,39052,369
2021-09-17,Stanislaus,72314,1091
2021-09-17,Sutter,12931,153
2021-09-17,Tehama,7150,84
2021-09-17,Trinity,576,7
2021-09-17,Tulare,60736,895
2021-09-17,Tuolumne,6147,89
2021-09-17,Ventura,93760,1116
2021-09-17,Yolo,18301,239
2021-09-17,Yuba,9125,61
2021-09-16,Alameda,113657,1318
2021-09-16,Alpine,100,0
2021-09-16,Amador,4907,58
2021-09-16,Butte,18214,230
2021-09-16,Calaveras,3393,66
2021-09-16,Colusa,2379,16
2021-09-16,Contra Costa,93940,917
2021-09-16,Del Norte,3374,34
2021-09-16,El Dorado,14566,127
2021-09-16,Fresno,125387,1868
2021-09-16,Glenn,3123,24
2021-09-16,Humboldt,7951,80
2021-09-16,Imperial,31142,753
2021-09-16,Inyo,1653,39
2021-09-16,Kern,115437,1448
2021-09-16,Kings,28502,280
2021-09-16,Lake,6023,87
2021-09-16,Lassen,6196,25
2021-09-16,Los Angeles,1382254,25796
2021-09-16,Madera,20299,257
2021-09-16,Marin,16741,242
2021-09-16,Mariposa,902,6
2021-09-16,Mendocino,6593,67
2021-09-16,Merced,38131,532
2021-09-16,Modoc,456,5
2021-09-16,Mono,1482,3
2021-09-16,Monterey,46558,562
2021-09-16,Napa,12228,95
2021-09-16,Nevada,8250,84
2021-09-16,Orange,294230,5340
2021-09-16,Placer,33494,354
2021-09-16,Plumas,1204,5
2021-09-16,Riverside,342035,4786
2021-09-16,Sacramento,146526,1996
2021-09-16,San Benito,6938,67
2021-09-16,San Bernardino,337360,5474
2021-09-16,San Diego,351106,3994
2021-09-16,San Francisco,49565,605
2021-09-16,San Joaquin,92565,1608
2021-09-16,San Luis Obispo,27267,310
2021-09-16,San Mateo,51088,564
2021-09-16,Santa Barbara,41525,497
2021-09-16,Santa Clara,139580,1835
2021-09-16,Santa Cruz,19139,211
2021-09-16,Shasta,18022,251
2021-09-16,Sierra,126,0
2021-09-16,Siskiyou,2927,35
2021-09-16,Solano,43151,312
2021-09-16,Sonoma,38997,369
2021-09-16,Stanislaus,72108,1091
2021-09-16,Sutter,12893,152
2021-09-16,Tehama,7115,83
2021-09-16,Trinity,573,7
2021-09-16,Tulare,60535,894
2021-09-16,Tuolumne,6133,89
2021-09-16,Ventura,93617,1110
2021-09-16,Yolo,18270,239
2021-09-16,Yuba,9090,61
2021-09-15,Alameda,113504,1317
2021-09-15,Alpine,100,0
2021-09-15,Amador,4901,58
2021-09-15,Butte,18131,228
2021-09-15,Calaveras,3361,66
2021-09-15,Colusa,2377,16
2021-09-15,Contra Costa,93774,913
2021-09-15,Del Norte,3361,34
2021-09-15,El Dorado,14544,127
2021-09-15,Fresno,125005,1867
2021-09-15,Glenn,3110,20
2021-09-15,Humboldt,7918,52
2021-09-15,Imperial,31087,753
2021-09-15,Inyo,1649,39
2021-09-15,Kern,115129,1434
2021-09-15,Kings,28434,279
2021-09-15,Lake,5998,85
2021-09-15,Lassen,6138,25
2021-09-15,Los Angeles,1380931,25767
2021-09-15,Madera,20246,257
2021-09-15,Marin,16711,242
2021-09-15,Mariposa,893,5
2021-09-15,Mendocino,6564,66
2021-09-15,Merced,38015,529
2021-09-15,Modoc,456,5
2021-09-15,Mono,1479,3
2021-09-15,Monterey,46499,562
2021-09-15,Napa,12207,95
2021-09-15,Nevada,8227,84
2021-09-15,Orange,293942,5328
2021-09-15,Placer,33403,352
2021-09-15,Plumas,1194,5
2021-09-15,Riverside,341483,4769
2021-09-15,Sacramento,146014,1981
2021-09-15,San Benito,6935,67
2021-09-15,San Bernardino,336931,5470
2021-09-15,San Diego,350512,3983
2021-09-15,San Francisco,49459,605
2021-09-15,San Joaquin,92304,1607
2021-09-15,San Luis Obispo,27184,306
2021-09-15,San Mateo,51013,564
2021-09-15,Santa Barbara,41444,497
2021-09-15,Santa Clara,139407,1833
2021-09-15,Santa Cruz,19114,210
2021-09-15,Shasta,17921,250
2021-09-15,Sierra,126,0
2021-09-15,Siskiyou,2909,35
2021-09-15,Solano,43082,312
2021-09-15,Sonoma,38942,369
2021-09-15,Stanislaus,71898,1091
2021-09-15,Sutter,12862,151
2021-09-15,Tehama,7084,79
2021-09-15,Trinity,572,7
2021-09-15,Tulare,60302,890
2021-09-15,Tuolumne,6111,89
2021-09-15,Ventura,93475,1109
2021-09-15,Yolo,18237,239
2021-09-15,Yuba,9058,61
2021-09-14,Alameda,113307,1316
2021-09-14,Alpine,100,0
2021-09-14,Amador,4881,57
2021-09-14,Butte,18006,226
2021-09-14,Calaveras,3338,66
2021-09-14,Colusa,2374,16
2021-09-14,Contra Costa,93586,908
2021-09-14,Del Norte,3348,32
2021-09-14,El Dorado,14494,123
2021-09-14,Fresno,124520,1856
2021-09-14,Glenn,3093,20
2021-09-14,Humboldt,7888,52
2021-09-14,Imperial,31039,752
2021-09-14,Inyo,1641,39
2021-09-14,Kern,114802,1428
2021-09-14,Kings,28357,278
2021-09-14,Lake,5967,83
2021-09-14,Lassen,6128,25
2021-09-14,Los Angeles,1379240,25729
2021-09-14,Madera,20175,254
2021-09-14,Marin,16686,242
2021-09-14,Mariposa,882,5
2021-09-14,Mendocino,6536,65
2021-09-14,Merced,37874,526
2021-09-14,Modoc,455,5
2021-09-14,Mono,1466,4
2021-09-14,Monterey,46474,558
2021-09-14,Napa,12177,91
2021-09-14,Nevada,8196,83
2021-09-14,Orange,293600,5319
2021-09-14,Placer,33283,350
2021-09-14,Plumas,1186,5
2021-09-14,Riverside,340880,4748
2021-09-14,Sacramento,145563,1977
2021-09-14,San Benito,6927,64
2021-09-14,San Bernardino,336463,5465
2021-09-14,San Diego,349874,3966
2021-09-14,San Francisco,49344,603
2021-09-14,San Joaquin,92070,1596
2021-09-14,San Luis Obispo,27119,304
2021-09-14,San Mateo,50926,564
2021-09-14,Santa Barbara,41320,495
2021-09-14,Santa Clara,139184,1828
2021-09-14,Santa Cruz,19085,210
2021-09-14,Shasta,17805,246
2021-09-14,Sierra,126,0
2021-09-14,Siskiyou,2886,35
2021-09-14,Solano,43004,307
2021-09-14,Sonoma,38880,369
2021-09-14,Stanislaus,71652,1091
2021-09-14,Sutter,12822,149
2021-09-14,Tehama,7034,80
2021-09-14,Trinity,567,7
2021-09-14,Tulare,60063,888
2021-09-14,Tuolumne,6092,89
2021-09-14,Ventura,93298,1107
2021-09-14,Yolo,18197,239
2021-09-14,Yuba,9025,61
2021-09-13,Alameda,113106,1309
2021-09-13,Alpine,99,0
2021-09-13,Amador,4865,56
2021-09-13,Butte,17888,225
2021-09-13,Calaveras,3309,65
2021-09-13,Colusa,2365,16
2021-09-13,Contra Costa,93352,908
2021-09-13,Del Norte,3318,28
2021-09-13,El Dorado,14435,119
2021-09-13,Fresno,124058,1853
2021-09-13,Glenn,3090,20
2021-09-13,Humboldt,7859,52
2021-09-13,Imperial,30992,751
2021-09-13,Inyo,1634,39
2021-09-13,Kern,114453,1424
2021-09-13,Kings,28258,275
2021-09-13,Lake,5946,82
2021-09-13,Lassen,6094,25
2021-09-13,Los Angeles,1377553,25703
2021-09-13,Madera,20115,252
2021-09-13,Marin,16653,242
2021-09-13,Mariposa,870,5
2021-09-13,Mendocino,6508,61
2021-09-13,Merced,37728,521
2021-09-13,Modoc,454,5
2021-09-13,Mono,1462,3
2021-09-13,Monterey,46395,558
2021-09-13,Napa,12158,91
2021-09-13,Nevada,8169,83
2021-09-13,Orange,293207,5312
2021-09-13,Placer,33129,343
2021-09-13,Plumas,1174,5
2021-09-13,Riverside,340260,4731
2021-09-13,Sacramento,144990,1956
2021-09-13,San Benito,6912,64
2021-09-13,San Bernardino,335998,5441
2021-09-13,San Diego,349112,3961
2021-09-13,San Francisco,49214,603
